CBS,WNCT,North Carolina,Greenville-New Bern-Washington,102,LifeStyle Segment,"Satellite, Studio,",$800 
NBC,WCMH,Ohio,Columbus,33,LifeStyle Segment,"Satellite, Studio,","$1,000 "
CW,KDAF,Texas,Dallas-Ft Worth,5,LifeStyle Segment,"Satellite, Studio,","$3,500 "
CW,KWBQ,New Mexico,Albuquerque,49,LifeStyle Segment,"Satellite, Studio,","$1,000 "
NBC,WHO,Iowa,Des Moines-Ames,68,LifeStyle Segment,"Satellite, Studio,","$1,000 "
ABC,WKRN,Tenesee,Nashville,100,LifeStyle Segment,"Satellite, Studio,","$2,000 "
CW,KIAH,TEXAS,HOUSTON,9,LifeStyle Segment,"Satellite, Studio,","$1,500 "
Fox,KHON,HI,Honolulu,65,LifeStyle Segment,"Satellite, Studio,","$2,500 "
Fox,KTVI,MO,St. Louis,23,LifeStyle Segment,"Satellite, Studio,","$1,500 "
CBS,WHBF,Illinois,Davenport,100,LifeStyle Segment,"Zoom,",$400 
CBS,KLBK,Texas,Lubbock,146,LifeStyle Segment,"Satellite, Studio,",$750 
CBS,WBTW,SC-NC,Myrtle Beach-Florence,101,LifeStyle Segment,"Satellite, Studio,",$500 
CW,KTLA,CA,Los Angeles,2,LifeStyle Segment,"Satellite, Studio,","$15,500 "
Fox,WQRF,Illinois,Rockford,139,LifeStyle Segment,"Satellite, Studio,","$1,000 "
ABC,WJBF,GA,AUGUSTA,120,LifeStyle Segment,"Satellite, Studio,",$600 
Fox,WJW,Ohio,Cleveland,19,LifeStyle Segment,"Satellite, Studio,","$5,000 "
ABC,KTVX,UTAH,Salt Lake City,29,LifeStyle Segment,"Satellite, Studio,","$3,000 "
NBC,KGET,CALIFORNIA,BAKERSFIELD,126,LifeStyle Segment,"Satellite, Studio,",$400 
CBS,WMBD,Illinois,Peoria-Bloomington,123,LifeStyle Segment,"Satellite, Studio,",$500 
NBC,KXAN,Texas,Austin,40,LifeStyle Segment,"Satellite, Studio,","$2,000 "
Fox,NRQE,New Mexico,Albuquerque,49,LifeStyle Segment,"Satellite, Studio,","$1,000 "
CBS,KELO,South Dakota,Sioux Falls,100,LifeStyle Segment,"Satellite, Studio,",$600 
CBS,WNCN,North Carolina,Raleigh,24,LifeStyle Segment,"Satellite, Studio,","$2,000 "
CW,WPIX,New York,New York,1,LifeStyle Segment,"Satellite, Studio,","$12,500 "
ABC,KTNV,Nevada,Las Vegas,40,Tampa Morning Blend,"Satellite, Studio,",$850 
